,Dropped,RMSE,Diff from Base
479,"[524, 692, 1183, 31, 534, 917, 969]",0.122037654619,-0.00299501320996
325,"[524, 496, 534, 917, 969]",0.122046633385,-0.00298603444405
50,"[524, 692, 534]",0.122056260288,-0.00297640754015
477,"[524, 692, 1183, 31, 496, 534, 969]",0.12206728213,-0.00296538569834
17,"[524, 969]",0.122068113181,-0.00296455464727
71,"[524, 534, 917]",0.122070290116,-0.00296237771284
428,"[524, 1183, 31, 496, 534, 969]",0.122071193938,-0.00296147389021
116,"[1299, 496, 969]",0.122123815124,-0.00290885270479
57,"[524, 1183, 917]",0.122131416734,-0.00290125109424
286,"[524, 692, 31, 917, 969]",0.122155804425,-0.00287686340391
182,"[524, 496, 534, 917]",0.122159712827,-0.00287295500125
86,"[692, 31, 534]",0.122190769042,-0.00284189878679
55,"[524, 1183, 496]",0.12219629721,-0.00283637061863
73,"[524, 917, 969]",0.122223630757,-0.00280903707148
288,"[524, 692, 496, 534, 969]",0.122248793829,-0.0027838739993
160,"[524, 1183, 496, 534]",0.122265319192,-0.00276734863709
16,"[524, 917]",0.122289296413,-0.00274337141562
161,"[524, 1183, 496, 917]",0.122319826801,-0.00271284102799
308,"[524, 1183, 496, 534, 969]",0.122329473737,-0.00270319409132
72,"[524, 534, 969]",0.122331795563,-0.00270087226576
287,"[524, 692, 496, 534, 917]",0.12234048857,-0.00269217925892
307,"[524, 1183, 496, 534, 917]",0.122363590392,-0.00266907743615
163,"[524, 1183, 534, 917]",0.122366343765,-0.0026663240635
283,"[524, 692, 31, 496, 969]",0.122366567203,-0.00266610062583
46,"[524, 692, 1183]",0.122370797359,-0.00266187046973
147,"[524, 692, 496, 969]",0.122479304046,-0.00255336378284
162,"[524, 1183, 496, 969]",0.122498050018,-0.00253461781044
58,"[524, 1183, 969]",0.122501546958,-0.00253112087082
164,"[524, 1183, 534, 969]",0.122513770704,-0.00251889712444
52,"[524, 692, 969]",0.122518793489,-0.00251387433972
132,"[524, 692, 1183, 496]",0.122540165749,-0.00249250207927
268,"[524, 692, 1183, 534, 917]",0.122557601397,-0.00247506643124
67,"[524, 31, 969]",0.122559025112,-0.00247364271698
135,"[524, 692, 1183, 969]",0.122580801325,-0.00245186650362
265,"[524, 692, 1183, 496, 534]",0.122581512515,-0.0024511553138
310,"[524, 1183, 534, 917, 969]",0.12258632459,-0.00244634323848
290,"[524, 692, 534, 917, 969]",0.122592182078,-0.00244048575043
269,"[524, 692, 1183, 534, 969]",0.122601037306,-0.00243163052265
123,"[31, 534, 917]",0.122627304023,-0.00240536380531
270,"[524, 692, 1183, 917, 969]",0.122654869351,-0.00237779847752
267,"[524, 692, 1183, 496, 969]",0.122655720403,-0.00237694742574
399,"[524, 692, 1183, 496, 534, 969]",0.122657548298,-0.00237511953078
216,"[692, 31, 917, 969]",0.122658979902,-0.00237368792658
480,"[524, 692, 1183, 496, 534, 917, 969]",0.122673533827,-0.00235913400145
309,"[524, 1183, 496, 917, 969]",0.122683635642,-0.00234903218647
102,"[1183, 31, 917]",0.12269855269,-0.00233411513839
464,"[1183, 31, 496, 534, 917, 969]",0.122730177781,-0.00230249004726
165,"[524, 1183, 917, 969]",0.122763474182,-0.00226919364704
289,"[524, 692, 496, 917, 969]",0.122765849288,-0.00226681854087
400,"[524, 692, 1183, 496, 917, 969]",0.122801153706,-0.00223151412264
11,"[524, 1183]",0.12280916623,-0.00222350159828
357,"[692, 31, 496, 534, 969]",0.12282627658,-0.00220639124914
416,"[524, 692, 496, 534, 917, 969]",0.122850252615,-0.00218241521362
5,[31],0.122854952235,-0.00217771559341
134,"[524, 692, 1183, 917]",0.122969045722,-0.00206362210636
149,"[524, 692, 534, 969]",0.122977346899,-0.00205532092978
214,"[692, 31, 534, 917]",0.123311038698,-0.00172162913069
458,"[692, 31, 496, 534, 917, 969]",0.123342877101,-0.00168979072727
125,"[31, 917, 969]",0.123363616806,-0.00166905102293
42,"[496, 969]",0.123366867649,-0.0016658001793
358,"[692, 31, 496, 917, 969]",0.123420952845,-0.00161171498337
215,"[692, 31, 534, 969]",0.123421688948,-0.00161097888113
39,"[31, 969]",0.123434532758,-0.00159813507016
359,"[692, 31, 534, 917, 969]",0.123438535217,-0.00159413261191
381,"[31, 496, 534, 917, 969]",0.123447195227,-0.00158547260139
253,"[31, 496, 917, 969]",0.123498463351,-0.00153420447744
108,"[1183, 534, 969]",0.12357479486,-0.00145787296831
431,"[524, 1183, 496, 534, 917, 969]",0.123586068182,-0.00144659964705
401,"[524, 692, 1183, 534, 917, 969]",0.123694581894,-0.00133808593482
68,"[524, 496, 534]",0.12385535048,-0.00117731734912
6,[496],0.123908882176,-0.00112378565253
13,"[524, 31]",0.12403187144,-0.0010007963884
9,[969],0.124036064766,-0.000996603062431
23,"[692, 917]",0.124090606481,-0.000942061347191
185,"[524, 534, 917, 969]",0.124226551581,-0.000806116248095
193,"[692, 1183, 31, 917]",0.124254619362,-0.000778048466652
30,"[1183, 969]",0.124278149009,-0.000754518819933
1,[524],0.12429160453,-0.000741063298326
150,"[524, 692, 917, 969]",0.124301782734,-0.000730885094656
360,"[692, 496, 534, 917, 969]",0.124309014405,-0.000723653423853
196,"[692, 1183, 496, 917]",0.124343619043,-0.000689048785546
395,"[524, 692, 1183, 31, 534, 917]",0.124527472607,-0.000505195221892
180,"[524, 31, 534, 969]",0.124594681246,-0.000437986582391
